sitename,source,listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,apartment_size,amenities,property_image
apartments.com,https://www.apartments.com/the-cliffs-at-dellridge-bedford-ns/c5l8yeg/,The Cliffs at Dellridge,The Cliffs at Dellridge,0902,"81 Dellridge Ln , Bedford , NS B4A 4H6 – Bedford",-1,-1,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,"C$2,850",Apartment,Studio - 2 bd,1 - 2 ba,"750 - 2,080 sq ft","Hard Surface Flooring, Air Conditioner, Two baths including one with shower, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Custom blinds, Over-the-range microwave, Visitor parking, Designer cabinetry, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Billiards, Heat and water included, Pet friendly, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",https://images1.apartments.com/i2/PjCypzWcwTipkEYDBcrpzk8XqMNNFa0jR3ts8Ll0DrI/111/the-cliffs-at-dellridge-bedford-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/lotus-point-dartmouth-ns/be1mcgb/,Lotus Point,Lotus Point,-1,"103 Ochterloney St , Dartmouth , NS B2Y 1C6 – Dartmouth",-1,-1,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"C$2,750",Apartment,2 bd,1 ba,,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",https://images1.apartments.com/i2/NERFNx19Z5ntKLpryQUEYimkvA7_W4oCIQQESEzY00c/111/lotus-point-dartmouth-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/new-build-2-bedroom-lower-flat-halifax-ns-unit-2/p9k4hnt/,NEW BUILD - 2 Bedroom Lower Flat,NEW BUILD - 2 Bedroom Lower Flat,-1,"29 McIntosh St , Halifax , NS B3R 1G9 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$2,250",Apartment,2 bd,1 ba,,,https://images1.apartments.com/i2/uDwxzX8Fweg2Z_Pk-BAMq06w8Xq5kMv9bTzZsf6QNYA/111/new-build---2-bedroom-lower-flat-unit-2-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/l04wf1e/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,029 - C$2,030",Apartment,Studio bd,1 ba,507 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/kel73z8/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,200",Apartment,1 bd,1 ba,700 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/7qt896z/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,725",Apartment,2 bd,1 ba,890 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/halifax-apartments-scotia-tower-halifax-ns/tekg3s8/,Halifax Apartments – Scotia Tower,Halifax Apartments – Scotia Tower,-1,"1991 Brunswick St , Halifax , NS B3J 2G9 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,895",Apartment,1 bd,1 ba,659 sq ft,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",https://images1.apartments.com/i2/PfaOyTq9eFFKaGnpx4hF9nfELIBNzDnYIDq0ymYHtgw/111/halifax-apartments-scotia-tower-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/halifax-apartments-mackeen-towers-halifax-ns/yxkc3tr/,Halifax Apartments – MacKeen Towers,Halifax Apartments – MacKeen Towers,-1,"2001 Brunswick St , Halifax , NS B3J 3L8 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,950",Apartment,1 bd,1 ba,741 sq ft,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",https://images1.apartments.com/i2/6a9Dw9MCLXYRCkst3W9NpzEtpGJ_UzggR57Qcf5gN8o/111/halifax-apartments-mackeen-towers-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/ocean-brook-apartments-halifax-ns/gkg0drw/,Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,985",Apartment,1 bd,1 ba,900 sq ft,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",https://images1.apartments.com/i2/ONsbwfNwYKo_epDRP17abqcMUu8rJF76upryDDYnDUQ/111/ocean-brook-apartments-halifax-ns-primary-photo.jpg?p=1
apartments.com,https://www.apartments.com/ocean-brook-apartments-halifax-ns/dj0sqql/,Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,385",Apartment,2 bd,1 ba,"1,470 sq ft","Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",https://images1.apartments.com/i2/ONsbwfNwYKo_epDRP17abqcMUu8rJF76upryDDYnDUQ/111/ocean-brook-apartments-halifax-ns-primary-photo.jpg?p=1
